id,EAP,HPL,MWS
id02310,0.014362829737365246,0.016316113993525505,0.9693210124969482
id24541,0.9988849759101868,0.0011147953337058425,2.1421882934191672e-07
id00134,0.0028369505889713764,0.9898367524147034,0.0073263393715023994
id27757,0.9625027775764465,0.02384348399937153,0.013653763569891453
id04081,0.6096194982528687,0.18512839078903198,0.20525214076042175
id27337,0.9917045831680298,0.006166183855384588,0.0021292432211339474
id24265,0.9227456450462341,0.07505151629447937,0.0022028754465281963
id25917,0.0009940076852217317,0.14630749821662903,0.8526985049247742
id04951,0.999968409538269,2.8635804483201355e-05,2.942028686447884e-06
id14549,0.9489253163337708,0.012989915907382965,0.038084834814071655
id22505,0.006055114790797234,0.035117365419864655,0.9588274955749512
id24002,1.4513972928398289e-05,0.9999687671661377,1.670222991378978e-05
id18982,0.008796722628176212,0.3192748725414276,0.6719284057617188
id15181,0.02813568338751793,0.9693543314933777,0.002509980695322156
id21888,0.7533237338066101,0.052606772631406784,0.1940694898366928
id12035,0.03989220783114433,0.002382865408435464,0.957724928855896
id17991,0.29831254482269287,0.11030485481023788,0.5913825631141663
id10707,0.9999997615814209,1.8949539537516102e-07,5.367673594491862e-08
id07101,0.47651639580726624,0.02488427422940731,0.4985992908477783
id00345,0.9182140231132507,0.0641629621386528,0.017622962594032288
id05912,0.9416506290435791,0.03536020591855049,0.02298917807638645
id13443,0.9341614246368408,0.035516008734703064,0.0303224865347147
id09248,0.44889965653419495,0.06904049217700958,0.48205986618995667
id17542,0.2812202572822571,0.5478970408439636,0.1708827167749405
id06995,0.0003464195760898292,7.660937262699008e-05,0.999576985836029
id25159,0.2794319689273834,0.04618135094642639,0.674386739730835
id25729,0.2331969141960144,0.6129173636436462,0.15388566255569458
id26949,0.9673982262611389,0.01400882937014103,0.018592946231365204
id27191,0.002635047072544694,0.0034706564620137215,0.9938942790031433
id07668,0.11126799136400223,0.000425809936132282,0.8883062601089478
id02230,0.007056392729282379,0.4684525430202484,0.5244911313056946
id15553,0.9999065399169922,1.4588313668184583e-08,9.344619320472702e-05
id25688,0.00040433465619571507,0.9937815070152283,0.005814196076244116
id17545,0.933639407157898,0.05638116970658302,0.00997941754758358
id13929,0.18832097947597504,0.3138257563114166,0.49785324931144714
id12880,0.33780694007873535,0.45540958642959595,0.20678351819515228
id19282,0.8824710845947266,0.09240302443504333,0.02512587420642376
id14690,0.0028977913316339254,0.0056486413814127445,0.9914535284042358
id17975,0.02340375818312168,0.9603940844535828,0.016202222555875778
id08037,0.9833637475967407,0.0005086369346827269,0.016127577051520348
id15412,0.060670968145132065,0.003250154433771968,0.9360788464546204
id25032,0.48743146657943726,0.0801372155547142,0.43243125081062317
id27165,0.9994089603424072,0.0004183419223409146,0.00017274561105296016
id03327,0.6558742523193359,0.30535200238227844,0.03877376765012741
id18515,0.3975352942943573,0.07401953637599945,0.5284451842308044
id21003,0.10183364152908325,0.009696822613477707,0.8884695768356323
id23855,0.0020053109619766474,0.9435246586799622,0.05446995422244072
id20724,0.8055980801582336,0.11591871827840805,0.07848326116800308
id13303,0.7966471314430237,0.051022715866565704,0.15233014523983002
id16521,0.0009579325560480356,0.5583504438400269,0.44069164991378784
id20775,0.9999982118606567,1.8448026821715757e-06,3.0984178778226124e-08
id13029,0.9980393052101135,0.0010784139158204198,0.0008823138196021318
id14660,0.9618992805480957,0.031838346272706985,0.006262422073632479
id11028,0.005806459579616785,0.0007769357180222869,0.9934165477752686
id14180,0.998375654220581,0.0012129424139857292,0.00041141323163174093
id25860,0.9999985694885254,1.2737115184791037e-06,8.661468342552325e-08
id11910,0.48968586325645447,0.070015087723732,0.44029900431632996
id08065,0.0728752389550209,0.01131890993565321,0.9158058762550354
id22674,0.0004927957779727876,0.004253915976732969,0.995253324508667
id25018,0.7560985684394836,0.001352666295133531,0.2425488531589508
id10892,0.0003648384299594909,0.9995821118354797,5.298907126416452e-05
id10217,0.11551471054553986,0.8519735336303711,0.03251180797815323
id12996,0.21917080879211426,0.12540936470031738,0.6554198265075684
